concept,entity,actual,predicted,human,missing data,missing relation,incorrect relation,incorrect reasoning
Irregular galaxy,NGC 3448,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Plant variety (law),Cleopatra,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Hawkeye (ciruela),positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),African Rose,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Heron,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Comox,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Belle of Leuven,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Boyuela,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Camoni,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Barnea,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Butlum,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Franquette,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Posmo,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Gagatai,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Plant variety (law),Cap of Liberty (apple),negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Plant variety (law),Malling-Merton 111,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Plant variety (law),Major (cider apple),negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Plant variety (law),Allium cepa Aggregatum Group,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Microcomputer,Primo,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Microcomputer,GC PowerPlus/32,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Microcomputer,9076-002 SP1,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Microcomputer,CS-2/32,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Microcomputer,CS6400,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Fraud,Silver Thursday,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Fraud,Kwangmyong,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Fraud,Lyoness,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Fraud,Acámbaro figures,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Fraud,Lance Armstrong doping case,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Fraud,Hanxin,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Fraud,Japanese paleolithic hoax,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Fraud,Hu Xingrong plagiarism incident at Shantou University,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Fraud,Hwang Woo-suk scandal,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Fraud,Piltdown Man,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Fraud,Disappearing Positive Methodology,negative,positive,negative,TRUE,FALSE,FALSE,FALSE
Fraud,Operation Aderlass,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Seaplane,A-851,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-852,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-858,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-1043,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-1037,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,Hamburg,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-752,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-152,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-767,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-766,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-768,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seaplane,A-770,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Beer in Belgium,Abbaye de Cambron,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Beer in Belgium,Achel Brewery,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Beer in Belgium,Dominus,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Beer in Belgium,Crabbelaer,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Beer in Belgium,Us Heit Dubbel Tarwe Bier,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Beer in Belgium,Maes pils,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Beer in Belgium,Cristal,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Beer in Belgium,Amstel 0.0,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Seyfert galaxy,7C 114610.00+594129.00,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Seyfert galaxy,NGC 5322,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Seyfert galaxy,NGC 6394,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Seyfert galaxy,NGC 617,positive,negative,negative,TRUE,FALSE,FALSE,FALSE
Seyfert galaxy,NGC 169,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Seyfert galaxy,IC 9,positive,negative,negative,TRUE,FALSE,FALSE,FALSE
Seyfert galaxy,Messier 94,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Seyfert galaxy,NGC 3338,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Catholic higher education,Rachol Seminary,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
Village (Japan),Hayashida Immigrant Village,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Village (Japan),Yoshino Immigrant Village,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Village (Japan),Toyota Immigrant Village,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Village (Japan),Shibetoro,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Village (Japan),Tachikawa,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Fetus,"Luísa Vitória, Princess of Grão-Pará",positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Fetus,Wakatakayori-hime no Mikoto,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Fetus,Archduchess Maria Carolina of Austria,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Fetus,Wakamitsuteru-hiko no Mikoto,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Fetus,Paul Richard Polanski,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Fetus,Arabella Kennedy,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Fetus,Basili,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Art movement,degenerate art,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Child,Marion Stone,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Child,Creche house Bayero University Kano state,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Child,Chartiste,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Child,Dzieciątko,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Child,Saturday Mthiyane,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Child,Kamala,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Child,"Luísa Vitória, Princess of Grão-Pará",positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Child,Wakatakayori-hime no Mikoto,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
Child,Fill Adoptiu de Palafrugell,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Child,Sailor Saturn,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Child,Snow White,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Child,Little Mermaid,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Chronology,Hellenistic period,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Chronology,Bold Beautiful Biathlon,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Chronology,Dieux du Stade,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Chronology,Malanka,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Chronology,Family,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Chronology,Black Inventors,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Chronology,Cueva de las Manos,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Chronology,Schicksalssprünge,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Indigenous peoples of the Americas,Hamatla Treaty Society,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Indigenous peoples of the Americas,Taboso people,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Indigenous peoples of the Americas,Bamoa,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Esports,GIGA Television,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Esports,Treasure Master,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Esports,men's doubles,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Esports,men's singles,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
Natural science,creationism,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Natural science,Ethnic groups of Andhra Pradesh,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Natural science,La Carte du ciel,negative,positive,negative,FALSE,FALSE,FALSE,TRUE
